"site";"year";"sample";"species";"Length.mm";"Age.y";"code"
"Pala";2007;"Pala16";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"Pala16";"Macoma balthica";3,7;2;"PL"
"Pala";2007;"Pala16";"Macoma balthica";3,8;2;"PL"
"Pala";2007;"Pala16";"Macoma balthica";5;3;"PL"
"Pala";2007;"Pala16";"Macoma balthica";10,9;"NA";"PL"
"Pala";2007;"Pala16";"Macoma balthica";12,9;"NA";"PL"
"Pala";2007;"Pala16";"Macoma balthica";13,3;"NA";"PL"
"Pala";2007;"Pala11";"Macoma balthica";1;1;"PL"
"Pala";2007;"Pala11";"Macoma balthica";1,8;1;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,2;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,2;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,3;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,3;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,4;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,8;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,8;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";2,8;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,1;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,2;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,6;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,6;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,6;3;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,8;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,9;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";3,9;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";4;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";4,1;3;"PL"
"Pala";2007;"Pala11";"Macoma balthica";4,3;2;"PL"
"Pala";2007;"Pala11";"Macoma balthica";4,7;3;"PL"
"Pala";2007;"Pala11";"Macoma balthica";5;3;"PL"
"Pala";2007;"Pala11";"Macoma balthica";8,1;5;"PL"
"Pala";2007;"Pala11";"Macoma balthica";9,5;"NA";"PL"
"Pala";2007;"Pala11";"Macoma balthica";10;"NA";"PL"
"Pala";2007;"Pala11";"Macoma balthica";10,6;"NA";"PL"
"Pala";2007;"36m1";"Macoma balthica";2,2;2;"PL"
"Pala";2007;"36m1";"Macoma balthica";3;2;"PL"
"Pala";2007;"36m1";"Macoma balthica";5,4;4;"PL"
"Pala";2007;"36m1";"Macoma balthica";5,8;4;"PL"
"Pala";2007;"36m1";"Macoma balthica";7,3;"NA";"PL"
"Pala";2007;"36m1";"Macoma balthica";8,1;4;"PL"
"Pala";2007;"36m1";"Macoma balthica";8,5;4;"PL"
"Pala";2007;"36m1";"Macoma balthica";10,5;"NA";"PL"
"Pala";2007;"36m1";"Macoma balthica";11,9;"NA";"PL"
"Pala";2007;"36m1";"Macoma balthica";11,5;6;"PL"
"Pala";2007;"36m1";"Macoma balthica";12,2;"NA";"PL"
"Pala";2007;"36m1";"Macoma balthica";11,7;"NA";"PL"
"Pala";2007;"36m1";"Macoma balthica";12;"NA";"PL"
"Pala";2007;"36m1";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"32m2";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"32m2";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"32m2";"Macoma balthica";2,3;1;"PL"
"Pala";2007;"32m2";"Macoma balthica";3;2;"PL"
"Pala";2007;"32m2";"Macoma balthica";3,4;2;"PL"
"Pala";2007;"32m2";"Macoma balthica";4,2;4;"PL"
"Pala";2007;"32m2";"Macoma balthica";5,2;4;"PL"
"Pala";2007;"32m2";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"32m2";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"32m2";"Macoma balthica";3,7;3;"PL"
"Pala";2007;"32m2";"Macoma balthica";3,8;2;"PL"
"Pala";2007;"32m2";"Macoma balthica";4,5;3;"PL"
"Pala";2007;"32m2";"Macoma balthica";5,8;4;"PL"
"Pala";2007;"32m2";"Macoma balthica";4,4;3;"PL"
"Pala";2007;"32m2";"Macoma balthica";5,5;4;"PL"
"Pala";2007;"32m2";"Macoma balthica";5,5;3;"PL"
"Pala";2007;"32m2";"Macoma balthica";6,6;5;"PL"
"Pala";2007;"32m2";"Macoma balthica";7,1;5;"PL"
"Pala";2007;"32m2";"Macoma balthica";6,6;4;"PL"
"Pala";2007;"32m2";"Macoma balthica";6,5;5;"PL"
"Pala";2007;"32m2";"Macoma balthica";7,6;"NA";"PL"
"Pala";2007;"32m2";"Macoma balthica";8,1;5;"PL"
"Pala";2007;"32m2";"Macoma balthica";7,6;6;"PL"
"Pala";2007;"32m2";"Macoma balthica";8,4;7;"PL"
"Pala";2007;"32m2";"Macoma balthica";8,2;4;"PL"
"Pala";2007;"32m2";"Macoma balthica";7,7;5;"PL"
"Pala";2007;"32m2";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"32m2";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"32m2";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"32m2";"Macoma balthica";9,8;5;"PL"
"Pala";2007;"32m2";"Macoma balthica";10;"NA";"PL"
"Pala";2007;"32m2";"Macoma balthica";9,9;7;"PL"
"Pala";2007;"32m2";"Macoma balthica";10,5;6;"PL"
"Pala";2007;"32m2";"Macoma balthica";12;7;"PL"
"Pala";2007;"32m2";"Macoma balthica";10,8;7;"PL"
"Pala";2007;"32m2";"Macoma balthica";10;8;"PL"
"Pala";2007;"32m2";"Macoma balthica";11,8;8;"PL"
"Pala";2007;"32m2";"Macoma balthica";11,7;8;"PL"
"Pala";2007;"32m2";"Macoma balthica";10,5;8;"PL"
"Pala";2007;"32m2";"Macoma balthica";13,3;9;"PL"
"Pala";2007;"32m2";"Macoma balthica";11,5;8;"PL"
"Pala";2007;"32m2";"Macoma balthica";10,3;6;"PL"
"Pala";2007;"32m2";"Macoma balthica";15,5;"NA";"PL"
"Pala";2007;"32m2";"Macoma balthica";13;10;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,6;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,2;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,3;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,9;3;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,3;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";3;3;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,1;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,6;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,9;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,8;3;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,4;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";4,2;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,9;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";4,5;4;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";3,8;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"34m3";"Macoma balthica";2;1;"PL"
"Pala";2007;"34m3";"Macoma balthica";4,2;3;"PL"
"Pala";2007;"34m3";"Macoma balthica";6,7;5;"PL"
"Pala";2007;"34m3";"Macoma balthica";5,9;5;"PL"
"Pala";2007;"34m3";"Macoma balthica";6,5;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";6,6;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";8;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";8;7;"PL"
"Pala";2007;"34m3";"Macoma balthica";8,2;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";9,2;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";8,2;5;"PL"
"Pala";2007;"34m3";"Macoma balthica";7,9;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";8,4;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";10,5;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";12;7;"PL"
"Pala";2007;"34m3";"Macoma balthica";9,3;7;"PL"
"Pala";2007;"34m3";"Macoma balthica";10;7;"PL"
"Pala";2007;"34m3";"Macoma balthica";10;8;"PL"
"Pala";2007;"34m3";"Macoma balthica";10,3;7;"PL"
"Pala";2007;"34m3";"Macoma balthica";11,2;7;"PL"
"Pala";2007;"34m3";"Macoma balthica";11,3;6;"PL"
"Pala";2007;"34m3";"Macoma balthica";11;"NA";"PL"
"Pala";2007;"34m3";"Macoma balthica";12,3;"NA";"PL"
"Pala";2007;"34m3";"Macoma balthica";12;"NA";"PL"
"Pala";2007;"34m3";"Macoma balthica";11,7;9;"PL"
"Pala";2007;"34m3";"Macoma balthica";14,9;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";7,5;5;"PL"
"Pala";2007;"28m2";"Macoma balthica";9,7;7;"PL"
"Pala";2007;"28m2";"Macoma balthica";7;6;"PL"
"Pala";2007;"28m2";"Macoma balthica";8,3;6;"PL"
"Pala";2007;"28m2";"Macoma balthica";9,1;7;"PL"
"Pala";2007;"28m2";"Macoma balthica";9,7;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";10,3;7;"PL"
"Pala";2007;"28m2";"Macoma balthica";9,3;6;"PL"
"Pala";2007;"28m2";"Macoma balthica";10,2;7;"PL"
"Pala";2007;"28m2";"Macoma balthica";10,2;7;"PL"
"Pala";2007;"28m2";"Macoma balthica";10,3;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";11,1;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";10,8;8;"PL"
"Pala";2007;"28m2";"Macoma balthica";12;7;"PL"
"Pala";2007;"28m2";"Macoma balthica";14,1;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";12;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";11,1;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";8,9;7;"PL"
"Pala";2007;"28m2";"Macoma balthica";11,5;9;"PL"
"Pala";2007;"28m2";"Macoma balthica";11,2;"NA";"PL"
"Pala";2007;"28m2";"Macoma balthica";10,5;8;"PL"
"Pala";2007;"28m2";"Macoma balthica";13,7;9;"PL"
"Pala";2007;"28m2";"Macoma balthica";11,2;8;"PL"
"Pala";2007;"28m2";"Macoma balthica";10,8;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";3,4;2;"PL"
"Pala";2007;"32m1";"Macoma balthica";3,3;2;"PL"
"Pala";2007;"32m1";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"32m1";"Macoma balthica";2,5;1;"PL"
"Pala";2007;"32m1";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"32m1";"Macoma balthica";3,2;3;"PL"
"Pala";2007;"32m1";"Macoma balthica";5,4;4;"PL"
"Pala";2007;"32m1";"Macoma balthica";3,5;3;"PL"
"Pala";2007;"32m1";"Macoma balthica";3,7;3;"PL"
"Pala";2007;"32m1";"Macoma balthica";2,8;2;"PL"
"Pala";2007;"32m1";"Macoma balthica";4,6;4;"PL"
"Pala";2007;"32m1";"Macoma balthica";4,1;3;"PL"
"Pala";2007;"32m1";"Macoma balthica";4,7;4;"PL"
"Pala";2007;"32m1";"Macoma balthica";2,3;1;"PL"
"Pala";2007;"32m1";"Macoma balthica";6,7;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";6,8;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";5,8;3;"PL"
"Pala";2007;"32m1";"Macoma balthica";7,6;6;"PL"
"Pala";2007;"32m1";"Macoma balthica";7,3;6;"PL"
"Pala";2007;"32m1";"Macoma balthica";10,2;7;"PL"
"Pala";2007;"32m1";"Macoma balthica";9,7;7;"PL"
"Pala";2007;"32m1";"Macoma balthica";4,3;2;"PL"
"Pala";2007;"32m1";"Macoma balthica";8,3;5;"PL"
"Pala";2007;"32m1";"Macoma balthica";9;7;"PL"
"Pala";2007;"32m1";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";10,2;8;"PL"
"Pala";2007;"32m1";"Macoma balthica";11,4;7;"PL"
"Pala";2007;"32m1";"Macoma balthica";11,1;7;"PL"
"Pala";2007;"32m1";"Macoma balthica";11;7;"PL"
"Pala";2007;"32m1";"Macoma balthica";9,1;5;"PL"
"Pala";2007;"32m1";"Macoma balthica";10,6;6;"PL"
"Pala";2007;"32m1";"Macoma balthica";10,2;8;"PL"
"Pala";2007;"32m1";"Macoma balthica";11,7;9;"PL"
"Pala";2007;"32m1";"Macoma balthica";13,2;8;"PL"
"Pala";2007;"32m1";"Macoma balthica";12;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";15;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";14,3;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";12,5;8;"PL"
"Pala";2007;"32m1";"Macoma balthica";13,4;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";13,5;9;"PL"
"Pala";2007;"32m1";"Macoma balthica";17,5;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";18;12;"PL"
"Pala";2007;"32m1";"Macoma balthica";16,9;"NA";"PL"
"Pala";2007;"32m1";"Macoma balthica";10;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";2,3;2;"PL"
"Pala";2007;"28m3";"Macoma balthica";8,6;6;"PL"
"Pala";2007;"28m3";"Macoma balthica";8,9;7;"PL"
"Pala";2007;"28m3";"Macoma balthica";7,3;6;"PL"
"Pala";2007;"28m3";"Macoma balthica";9,5;7;"PL"
"Pala";2007;"28m3";"Macoma balthica";9;6;"PL"
"Pala";2007;"28m3";"Macoma balthica";8,9;7;"PL"
"Pala";2007;"28m3";"Macoma balthica";9,9;9;"PL"
"Pala";2007;"28m3";"Macoma balthica";9,2;9;"PL"
"Pala";2007;"28m3";"Macoma balthica";10,5;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";10,4;9;"PL"
"Pala";2007;"28m3";"Macoma balthica";10;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";10,8;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";11,6;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";10,9;8;"PL"
"Pala";2007;"28m3";"Macoma balthica";11,2;10;"PL"
"Pala";2007;"28m3";"Macoma balthica";14,8;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";17,7;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";12,2;"NA";"PL"
"Pala";2007;"28m3";"Macoma balthica";13,7;"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";3,8;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";3,1;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";3,7;3;"PL"
"Pala";2007;"33m3";"Macoma balthica";3,8;"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";3,7;3;"PL"
"Pala";2007;"33m3";"Macoma balthica";5,2;"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";4,6;6;"PL"
"Pala";2007;"33m3";"Macoma balthica";5,1;3;"PL"
"Pala";2007;"33m3";"Macoma balthica";8,2;5;"PL"
"Pala";2007;"33m3";"Macoma balthica";9,5;"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";9,8;7;"PL"
"Pala";2007;"33m3";"Macoma balthica";3,6;5;"PL"
"Pala";2007;"33m3";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";3,7;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";2;1;"PL"
"Pala";2007;"33m3";"Macoma balthica";3,4;3;"PL"
"Pala";2007;"33m3";"Macoma balthica";4,3;3;"PL"
"Pala";2007;"33m3";"Macoma balthica";6;4;"PL"
"Pala";2007;"33m3";"Macoma balthica";6,5;5;"PL"
"Pala";2007;"33m3";"Macoma balthica";9,1;6;"PL"
"Pala";2007;"33m3";"Macoma balthica";8,9;5;"PL"
"Pala";2007;"33m3";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";2,9;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";2,9;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";4,8;3;"PL"
"Pala";2007;"33m3";"Macoma balthica";4,9;3;"PL"
"Pala";2007;"33m3";"Macoma balthica";2,8;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";8,6;6;"PL"
"Pala";2007;"33m3";"Macoma balthica";7,9;2;"PL"
"Pala";2007;"33m3";"Macoma balthica";6,1;"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";10,2;"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";9,8;6;"PL"
"Pala";2007;"33m3";"Macoma balthica";11,5;8;"PL"
"Pala";2007;"33m3";"Macoma balthica";11,5;8;"PL"
"Pala";2007;"33m3";"Macoma balthica";12,8;10;"PL"
"Pala";2007;"33m3";"Macoma balthica";11;9;"PL"
"Pala";2007;"33m3";"Macoma balthica";10,7;8;"PL"
"Pala";2007;"33m3";"Macoma balthica";15,2;11;"PL"
"Pala";2007;"33m3";"Macoma balthica";13;10;"PL"
"Pala";2007;"33m3";"Macoma balthica";14,6;"NA";"PL"
"Pala";2007;"33m3";"Macoma balthica";11,9;10;"PL"
"Pala";2007;"33m3";"Macoma balthica";14,2;9;"PL"
"Pala";2007;"33m3";"Macoma balthica";11,5;9;"PL"
"Pala";2007;"33m3";"Macoma balthica";10;6;"PL"
"Pala";2007;"29m1";"Macoma balthica";2,3;1;"PL"
"Pala";2007;"29m1";"Macoma balthica";6,9;5;"PL"
"Pala";2007;"29m1";"Macoma balthica";10,1;7;"PL"
"Pala";2007;"29m1";"Macoma balthica";10,6;"NA";"PL"
"Pala";2007;"29m1";"Macoma balthica";10,3;7;"PL"
"Pala";2007;"29m1";"Macoma balthica";11,7;8;"PL"
"Pala";2007;"29m1";"Macoma balthica";13,7;10;"PL"
"Pala";2007;"29m1";"Macoma balthica";6,3;5;"PL"
"Pala";2007;"29m1";"Macoma balthica";7,1;6;"PL"
"Pala";2007;"29m1";"Macoma balthica";14;"NA";"PL"
"Pala";2007;"29m1";"Macoma balthica";11;8;"PL"
"Pala";2007;"29m1";"Macoma balthica";11,2;8;"PL"
"Pala";2007;"29m1";"Macoma balthica";14,5;"NA";"PL"
"Pala";2007;"29m1";"Macoma balthica";18,1;"NA";"PL"
"Pala";2007;"29m1";"Macoma balthica";5,9;4;"PL"
"Pala";2007;"29m1";"Macoma balthica";10,3;"NA";"PL"
"Pala";2007;"29m1";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"29m1";"Macoma balthica";8,7;7;"PL"
"Pala";2007;"29m1";"Macoma balthica";11,2;8;"PL"
"Pala";2007;"29m1";"Macoma balthica";17,9;"NA";"PL"
"Pala";2007;"33m2";"Macoma balthica";2,8;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,2;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";2,9;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,7;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,2;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";4,9;4;"PL"
"Pala";2007;"33m2";"Macoma balthica";4,3;4;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,5;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,5;"NA";"PL"
"Pala";2007;"33m2";"Macoma balthica";9;6;"PL"
"Pala";2007;"33m2";"Macoma balthica";7,8;7;"PL"
"Pala";2007;"33m2";"Macoma balthica";11;"NA";"PL"
"Pala";2007;"33m2";"Macoma balthica";10;7;"PL"
"Pala";2007;"33m2";"Macoma balthica";9,3;8;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,7;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,8;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,3;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,6;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";4,9;4;"PL"
"Pala";2007;"33m2";"Macoma balthica";4,2;4;"PL"
"Pala";2007;"33m2";"Macoma balthica";5,1;4;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,7;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";7,4;7;"PL"
"Pala";2007;"33m2";"Macoma balthica";9,7;8;"PL"
"Pala";2007;"33m2";"Macoma balthica";11;7;"PL"
"Pala";2007;"33m2";"Macoma balthica";11;9;"PL"
"Pala";2007;"33m2";"Macoma balthica";8,8;8;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,5;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";2,7;2;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,3;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";5,4;4;"PL"
"Pala";2007;"33m2";"Macoma balthica";5;5;"PL"
"Pala";2007;"33m2";"Macoma balthica";3,3;3;"PL"
"Pala";2007;"33m2";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"33m2";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"33m2";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"33m2";"Macoma balthica";7,7;6;"PL"
"Pala";2007;"33m2";"Macoma balthica";9,7;7;"PL"
"Pala";2007;"33m2";"Macoma balthica";8,6;9;"PL"
"Pala";2007;"33m2";"Macoma balthica";9,7;8;"PL"
"Pala";2007;"33m2";"Macoma balthica";11;10;"PL"
"Pala";2007;"33m2";"Macoma balthica";11,2;8;"PL"
"Pala";2007;"33m2";"Macoma balthica";6,1;6;"PL"
"Pala";2007;"33m2";"Macoma balthica";15,3;10;"PL"
"Pala";2007;"33m2";"Macoma balthica";13,8;10;"PL"
"Pala";2007;"33m2";"Macoma balthica";12,2;9;"PL"
"Pala";2007;"33m2";"Macoma balthica";6,9;4;"PL"
"Pala";2007;"33m2";"Macoma balthica";11,6;7;"PL"
"Pala";2007;"33m2";"Macoma balthica";14,4;"NA";"PL"
"Pala";2007;"27m1";"Macoma balthica";3;2;"PL"
"Pala";2007;"27m1";"Macoma balthica";6,1;4;"PL"
"Pala";2007;"27m1";"Macoma balthica";8,1;5;"PL"
"Pala";2007;"27m1";"Macoma balthica";11,2;7;"PL"
"Pala";2007;"27m1";"Macoma balthica";10,5;"NA";"PL"
"Pala";2007;"27m1";"Macoma balthica";10,4;7;"PL"
"Pala";2007;"27m1";"Macoma balthica";12,7;"NA";"PL"
"Pala";2007;"27m1";"Macoma balthica";12,5;"NA";"PL"
"Pala";2007;"27m1";"Macoma balthica";12,7;10;"PL"
"Pala";2007;"27m1";"Macoma balthica";12,7;10;"PL"
"Pala";2007;"27m1";"Macoma balthica";10,6;8;"PL"
"Pala";2007;"27m1";"Macoma balthica";10,5;8;"PL"
"Pala";2007;"27m1";"Macoma balthica";12,2;10;"PL"
"Pala";2007;"27m1";"Macoma balthica";10,6;7;"PL"
"Pala";2007;"27m1";"Macoma balthica";13,7;8;"PL"
"Pala";2007;"27m1";"Macoma balthica";12,6;8;"PL"
"Pala";2007;"27m1";"Macoma balthica";14,6;"NA";"PL"
"Pala";2007;"27m1";"Macoma balthica";16,1;"NA";"PL"
"Pala";2007;"27m1";"Macoma balthica";13,2;10;"PL"
"Pala";2007;"27m1";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"27m1";"Macoma balthica";"NA";"NA";"PL"
"Pala";2007;"36m3";"Macoma balthica";1,9;2;"PL"
"Pala";2007;"36m3";"Macoma balthica";2,1;3;"PL"
"Pala";2007;"36m3";"Macoma balthica";3,9;5;"PL"
"Pala";2007;"36m3";"Macoma balthica";5,7;5;"PL"
"Pala";2007;"36m3";"Macoma balthica";3,1;4;"PL"
"Pala";2007;"36m3";"Macoma balthica";1,6;2;"PL"
"Pala";2007;"36m3";"Macoma balthica";3,2;4;"PL"
"Pala";2007;"36m3";"Macoma balthica";5,2;5;"PL"
"Pala";2007;"36m3";"Macoma balthica";2,5;3;"PL"
"Pala";2007;"36m3";"Macoma balthica";2,1;4;"PL"
"Pala";2007;"36m3";"Macoma balthica";3,5;5;"PL"
"Pala";2007;"36m3";"Macoma balthica";6,5;6;"PL"
"Pala";2007;"36m3";"Macoma balthica";11;10;"PL"
"Pala";2007;"36m3";"Macoma balthica";11,2;9;"PL"
"Pala";2007;"36m2";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"36m2";"Macoma balthica";9,9;8;"PL"
"Pala";2007;"36m2";"Macoma balthica";13,8;10;"PL"
"Pala";2007;"36m2";"Macoma balthica";4,3;3;"PL"
"Pala";2007;"36m2";"Macoma balthica";11;9;"PL"
"Pala";2007;"36m2";"Macoma balthica";2,3;1;"PL"
"Pala";2007;"36m2";"Macoma balthica";13,2;10;"PL"
"Pala";2007;"32m3";"Macoma balthica";3,4;3;"PL"
"Pala";2007;"32m3";"Macoma balthica";3,4;3;"PL"
"Pala";2007;"32m3";"Macoma balthica";3,3;2;"PL"
"Pala";2007;"32m3";"Macoma balthica";3,3;2;"PL"
"Pala";2007;"32m3";"Macoma balthica";2,5;2;"PL"
"Pala";2007;"32m3";"Macoma balthica";7,5;6;"PL"
"Pala";2007;"32m3";"Macoma balthica";7,3;5;"PL"
"Pala";2007;"32m3";"Macoma balthica";8,7;8;"PL"
"Pala";2007;"32m3";"Macoma balthica";10,5;8;"PL"
"Pala";2007;"32m3";"Macoma balthica";9,4;6;"PL"
"Pala";2007;"32m3";"Macoma balthica";9,8;8;"PL"
"Pala";2007;"32m3";"Macoma balthica";13,4;11;"PL"
"Pala";2007;"32m3";"Macoma balthica";14,9;"NA";"PL"
"Pala";2007;"32m3";"Macoma balthica";12,4;8;"PL"
"Pala";2007;"32m3";"Macoma balthica";3,3;2;"PL"
"Pala";2007;"32m3";"Macoma balthica";2,6;2;"PL"
"Pala";2007;"32m3";"Macoma balthica";3,4;3;"PL"
