"Length.int" "year" "sample" "Freq"
"1" "(0,1]" "1992" "1me1" NA
"4600" "(19,20]" "2011" "me11" 0
"4601" "(0,1]" "2012" "me11" NA
"4602" "(1,2]" "2012" "me11" NA
"4603" "(2,3]" "2012" "me11" NA
"4604" "(3,4]" "2012" "me11" NA
"4605" "(4,5]" "2012" "me11" NA
"4606" "(5,6]" "2012" "me11" NA
"4607" "(6,7]" "2012" "me11" NA
"4608" "(7,8]" "2012" "me11" NA
"4609" "(8,9]" "2012" "me11" NA
"4610" "(9,10]" "2012" "me11" NA
"4611" "(10,11]" "2012" "me11" NA
"4612" "(11,12]" "2012" "me11" NA
"4613" "(12,13]" "2012" "me11" NA
"4614" "(13,14]" "2012" "me11" NA
"4615" "(14,15]" "2012" "me11" NA
"4616" "(15,16]" "2012" "me11" NA
"4617" "(16,17]" "2012" "me11" NA
"4618" "(17,18]" "2012" "me11" NA
"4619" "(18,19]" "2012" "me11" NA
"4620" "(19,20]" "2012" "me11" NA
"4621" "(0,1]" "1992" "me12" NA
"4622" "(1,2]" "1992" "me12" NA
"4623" "(2,3]" "1992" "me12" NA
"4624" "(3,4]" "1992" "me12" NA
"4625" "(4,5]" "1992" "me12" NA
"4626" "(5,6]" "1992" "me12" NA
"4627" "(6,7]" "1992" "me12" NA
"4628" "(7,8]" "1992" "me12" NA
"4629" "(8,9]" "1992" "me12" NA
"4630" "(9,10]" "1992" "me12" NA
"4631" "(10,11]" "1992" "me12" NA
"4632" "(11,12]" "1992" "me12" NA
"4633" "(12,13]" "1992" "me12" NA
"4634" "(13,14]" "1992" "me12" NA
"4635" "(14,15]" "1992" "me12" NA
"4636" "(15,16]" "1992" "me12" NA
"4637" "(16,17]" "1992" "me12" NA
"4638" "(17,18]" "1992" "me12" NA
"4639" "(18,19]" "1992" "me12" NA
"4640" "(19,20]" "1992" "me12" NA
"4641" "(0,1]" "1993" "me12" NA
"4642" "(1,2]" "1993" "me12" NA
"4643" "(2,3]" "1993" "me12" NA
"4644" "(3,4]" "1993" "me12" NA
"4645" "(4,5]" "1993" "me12" NA
"4646" "(5,6]" "1993" "me12" NA
"4647" "(6,7]" "1993" "me12" NA
"4648" "(7,8]" "1993" "me12" NA
"4649" "(8,9]" "1993" "me12" NA
"4650" "(9,10]" "1993" "me12" NA
"4651" "(10,11]" "1993" "me12" NA
"4652" "(11,12]" "1993" "me12" NA
"4653" "(12,13]" "1993" "me12" NA
"4654" "(13,14]" "1993" "me12" NA
"4655" "(14,15]" "1993" "me12" NA
"4656" "(15,16]" "1993" "me12" NA
"4657" "(16,17]" "1993" "me12" NA
"4658" "(17,18]" "1993" "me12" NA
"4659" "(18,19]" "1993" "me12" NA
"4660" "(19,20]" "1993" "me12" NA
"4661" "(0,1]" "1994" "me12" NA
"4662" "(1,2]" "1994" "me12" NA
"4663" "(2,3]" "1994" "me12" NA
"4664" "(3,4]" "1994" "me12" NA
"4665" "(4,5]" "1994" "me12" NA
"4666" "(5,6]" "1994" "me12" NA
"4667" "(6,7]" "1994" "me12" NA
"4668" "(7,8]" "1994" "me12" NA
"4669" "(8,9]" "1994" "me12" NA
"4670" "(9,10]" "1994" "me12" NA
"4671" "(10,11]" "1994" "me12" NA
"4672" "(11,12]" "1994" "me12" NA
"4673" "(12,13]" "1994" "me12" NA
"4674" "(13,14]" "1994" "me12" NA
"4675" "(14,15]" "1994" "me12" NA
"4676" "(15,16]" "1994" "me12" NA
"4677" "(16,17]" "1994" "me12" NA
"4678" "(17,18]" "1994" "me12" NA
"4679" "(18,19]" "1994" "me12" NA
"4680" "(19,20]" "1994" "me12" NA
"4681" "(0,1]" "1995" "me12" NA
"4682" "(1,2]" "1995" "me12" NA
"4683" "(2,3]" "1995" "me12" NA
"4684" "(3,4]" "1995" "me12" NA
"4685" "(4,5]" "1995" "me12" NA
"4686" "(5,6]" "1995" "me12" NA
"4687" "(6,7]" "1995" "me12" NA
"4688" "(7,8]" "1995" "me12" NA
"4689" "(8,9]" "1995" "me12" NA
"4690" "(9,10]" "1995" "me12" NA
"4691" "(10,11]" "1995" "me12" NA
"4692" "(11,12]" "1995" "me12" NA
"4693" "(12,13]" "1995" "me12" NA
"4694" "(13,14]" "1995" "me12" NA
"4695" "(14,15]" "1995" "me12" NA
"4696" "(15,16]" "1995" "me12" NA
"4697" "(16,17]" "1995" "me12" NA
"4698" "(17,18]" "1995" "me12" NA
"4699" "(18,19]" "1995" "me12" NA
"4700" "(19,20]" "1995" "me12" NA
"4701" "(0,1]" "1996" "me12" NA
"4702" "(1,2]" "1996" "me12" NA
"4703" "(2,3]" "1996" "me12" NA
"4704" "(3,4]" "1996" "me12" NA
"4705" "(4,5]" "1996" "me12" NA
"4706" "(5,6]" "1996" "me12" NA
"4707" "(6,7]" "1996" "me12" NA
"4708" "(7,8]" "1996" "me12" NA
"4709" "(8,9]" "1996" "me12" NA
"4710" "(9,10]" "1996" "me12" NA
"4711" "(10,11]" "1996" "me12" NA
"4712" "(11,12]" "1996" "me12" NA
"4713" "(12,13]" "1996" "me12" NA
"4714" "(13,14]" "1996" "me12" NA
"4715" "(14,15]" "1996" "me12" NA
"4716" "(15,16]" "1996" "me12" NA
"4717" "(16,17]" "1996" "me12" NA
"4718" "(17,18]" "1996" "me12" NA
"4719" "(18,19]" "1996" "me12" NA
"4720" "(19,20]" "1996" "me12" NA
"4721" "(0,1]" "1997" "me12" NA
"4722" "(1,2]" "1997" "me12" NA
"4723" "(2,3]" "1997" "me12" NA
"4724" "(3,4]" "1997" "me12" NA
"4725" "(4,5]" "1997" "me12" NA
"4726" "(5,6]" "1997" "me12" NA
"4727" "(6,7]" "1997" "me12" NA
"4728" "(7,8]" "1997" "me12" NA
"4729" "(8,9]" "1997" "me12" NA
"4730" "(9,10]" "1997" "me12" NA
"4731" "(10,11]" "1997" "me12" NA
"4732" "(11,12]" "1997" "me12" NA
"4733" "(12,13]" "1997" "me12" NA
"4734" "(13,14]" "1997" "me12" NA
"4735" "(14,15]" "1997" "me12" NA
"4736" "(15,16]" "1997" "me12" NA
"4737" "(16,17]" "1997" "me12" NA
"4738" "(17,18]" "1997" "me12" NA
"4739" "(18,19]" "1997" "me12" NA
"4740" "(19,20]" "1997" "me12" NA
"4741" "(0,1]" "1998" "me12" NA
"4742" "(1,2]" "1998" "me12" NA
"4743" "(2,3]" "1998" "me12" NA
"4744" "(3,4]" "1998" "me12" NA
"4745" "(4,5]" "1998" "me12" NA
"4746" "(5,6]" "1998" "me12" NA
"4747" "(6,7]" "1998" "me12" NA
"4748" "(7,8]" "1998" "me12" NA
"4749" "(8,9]" "1998" "me12" NA
"4750" "(9,10]" "1998" "me12" NA
"4751" "(10,11]" "1998" "me12" NA
"4752" "(11,12]" "1998" "me12" NA
"4753" "(12,13]" "1998" "me12" NA
"4754" "(13,14]" "1998" "me12" NA
"4755" "(14,15]" "1998" "me12" NA
"4756" "(15,16]" "1998" "me12" NA
"4757" "(16,17]" "1998" "me12" NA
"4758" "(17,18]" "1998" "me12" NA
"4759" "(18,19]" "1998" "me12" NA
"4760" "(19,20]" "1998" "me12" NA
"4761" "(0,1]" "1999" "me12" NA
"4762" "(1,2]" "1999" "me12" NA
"4763" "(2,3]" "1999" "me12" NA
"4764" "(3,4]" "1999" "me12" NA
"4765" "(4,5]" "1999" "me12" NA
"4766" "(5,6]" "1999" "me12" NA
"4767" "(6,7]" "1999" "me12" NA
"4768" "(7,8]" "1999" "me12" NA
"4769" "(8,9]" "1999" "me12" NA
"4770" "(9,10]" "1999" "me12" NA
"4771" "(10,11]" "1999" "me12" NA
"4772" "(11,12]" "1999" "me12" NA
"4773" "(12,13]" "1999" "me12" NA
"4774" "(13,14]" "1999" "me12" NA
"4775" "(14,15]" "1999" "me12" NA
"4776" "(15,16]" "1999" "me12" NA
"4777" "(16,17]" "1999" "me12" NA
"4778" "(17,18]" "1999" "me12" NA
"4779" "(18,19]" "1999" "me12" NA
"4780" "(19,20]" "1999" "me12" NA
"4781" "(0,1]" "2000" "me12" NA
"4782" "(1,2]" "2000" "me12" NA
"4783" "(2,3]" "2000" "me12" NA
"4784" "(3,4]" "2000" "me12" NA
"4785" "(4,5]" "2000" "me12" NA
"4786" "(5,6]" "2000" "me12" NA
"4787" "(6,7]" "2000" "me12" NA
"4788" "(7,8]" "2000" "me12" NA
"4789" "(8,9]" "2000" "me12" NA
"4790" "(9,10]" "2000" "me12" NA
"4791" "(10,11]" "2000" "me12" NA
"4792" "(11,12]" "2000" "me12" NA
"4793" "(12,13]" "2000" "me12" NA
"4794" "(13,14]" "2000" "me12" NA
"4795" "(14,15]" "2000" "me12" NA
"4796" "(15,16]" "2000" "me12" NA
"4797" "(16,17]" "2000" "me12" NA
"4798" "(17,18]" "2000" "me12" NA
"4799" "(18,19]" "2000" "me12" NA
"4800" "(19,20]" "2000" "me12" NA
"4801" "(0,1]" "2001" "me12" NA
"4802" "(1,2]" "2001" "me12" NA
"4803" "(2,3]" "2001" "me12" NA
"4804" "(3,4]" "2001" "me12" NA
"4805" "(4,5]" "2001" "me12" NA
"4806" "(5,6]" "2001" "me12" NA
"4807" "(6,7]" "2001" "me12" NA
"4808" "(7,8]" "2001" "me12" NA
"4809" "(8,9]" "2001" "me12" NA
"4810" "(9,10]" "2001" "me12" NA
"4811" "(10,11]" "2001" "me12" NA
"4812" "(11,12]" "2001" "me12" NA
"4813" "(12,13]" "2001" "me12" NA
"4814" "(13,14]" "2001" "me12" NA
"4815" "(14,15]" "2001" "me12" NA
"4816" "(15,16]" "2001" "me12" NA
"4817" "(16,17]" "2001" "me12" NA
"4818" "(17,18]" "2001" "me12" NA
"4819" "(18,19]" "2001" "me12" NA
"4820" "(19,20]" "2001" "me12" NA
"4821" "(0,1]" "2002" "me12" NA
"4822" "(1,2]" "2002" "me12" NA
"4823" "(2,3]" "2002" "me12" NA
"4824" "(3,4]" "2002" "me12" NA
"4825" "(4,5]" "2002" "me12" NA
"4826" "(5,6]" "2002" "me12" NA
"4827" "(6,7]" "2002" "me12" NA
"4828" "(7,8]" "2002" "me12" NA
"4829" "(8,9]" "2002" "me12" NA
"4830" "(9,10]" "2002" "me12" NA
"4831" "(10,11]" "2002" "me12" NA
"4832" "(11,12]" "2002" "me12" NA
"4833" "(12,13]" "2002" "me12" NA
"4834" "(13,14]" "2002" "me12" NA
"4835" "(14,15]" "2002" "me12" NA
"4836" "(15,16]" "2002" "me12" NA
"4837" "(16,17]" "2002" "me12" NA
"4838" "(17,18]" "2002" "me12" NA
"4839" "(18,19]" "2002" "me12" NA
"4840" "(19,20]" "2002" "me12" NA
"4841" "(0,1]" "2003" "me12" NA
"4842" "(1,2]" "2003" "me12" NA
"4843" "(2,3]" "2003" "me12" NA
"4844" "(3,4]" "2003" "me12" NA
"4845" "(4,5]" "2003" "me12" NA
"4846" "(5,6]" "2003" "me12" NA
"4847" "(6,7]" "2003" "me12" NA
"4848" "(7,8]" "2003" "me12" NA
"4849" "(8,9]" "2003" "me12" NA
"4850" "(9,10]" "2003" "me12" NA
"4851" "(10,11]" "2003" "me12" NA
"4852" "(11,12]" "2003" "me12" NA
"4853" "(12,13]" "2003" "me12" NA
"4854" "(13,14]" "2003" "me12" NA
"4855" "(14,15]" "2003" "me12" NA
"4856" "(15,16]" "2003" "me12" NA
"4857" "(16,17]" "2003" "me12" NA
"4858" "(17,18]" "2003" "me12" NA
"4859" "(18,19]" "2003" "me12" NA
"4860" "(19,20]" "2003" "me12" NA
"4861" "(0,1]" "2004" "me12" NA
"4862" "(1,2]" "2004" "me12" NA
"4863" "(2,3]" "2004" "me12" NA
"4864" "(3,4]" "2004" "me12" NA
"4865" "(4,5]" "2004" "me12" NA
"4866" "(5,6]" "2004" "me12" NA
"4867" "(6,7]" "2004" "me12" NA
"4868" "(7,8]" "2004" "me12" NA
"4869" "(8,9]" "2004" "me12" NA
"4870" "(9,10]" "2004" "me12" NA
"4871" "(10,11]" "2004" "me12" NA
"4872" "(11,12]" "2004" "me12" NA
"4873" "(12,13]" "2004" "me12" NA
"4874" "(13,14]" "2004" "me12" NA
"4875" "(14,15]" "2004" "me12" NA
"4876" "(15,16]" "2004" "me12" NA
"4877" "(16,17]" "2004" "me12" NA
"4878" "(17,18]" "2004" "me12" NA
"4879" "(18,19]" "2004" "me12" NA
"4880" "(19,20]" "2004" "me12" NA
"4881" "(0,1]" "2005" "me12" NA
"4882" "(1,2]" "2005" "me12" NA
"4883" "(2,3]" "2005" "me12" NA
"4884" "(3,4]" "2005" "me12" NA
"4885" "(4,5]" "2005" "me12" NA
"4886" "(5,6]" "2005" "me12" NA
"4887" "(6,7]" "2005" "me12" NA
"4888" "(7,8]" "2005" "me12" NA
"4889" "(8,9]" "2005" "me12" NA
"4890" "(9,10]" "2005" "me12" NA
"4891" "(10,11]" "2005" "me12" NA
"4892" "(11,12]" "2005" "me12" NA
"4893" "(12,13]" "2005" "me12" NA
"4894" "(13,14]" "2005" "me12" NA
"4895" "(14,15]" "2005" "me12" NA
"4896" "(15,16]" "2005" "me12" NA
"4897" "(16,17]" "2005" "me12" NA
"4898" "(17,18]" "2005" "me12" NA
"4899" "(18,19]" "2005" "me12" NA
"4900" "(19,20]" "2005" "me12" NA
"4901" "(0,1]" "2006" "me12" NA
"4902" "(1,2]" "2006" "me12" NA
"4903" "(2,3]" "2006" "me12" NA
"4904" "(3,4]" "2006" "me12" NA
"4905" "(4,5]" "2006" "me12" NA
"4906" "(5,6]" "2006" "me12" NA
"4907" "(6,7]" "2006" "me12" NA
"4908" "(7,8]" "2006" "me12" NA
"4909" "(8,9]" "2006" "me12" NA
"4910" "(9,10]" "2006" "me12" NA
"4911" "(10,11]" "2006" "me12" NA
"4912" "(11,12]" "2006" "me12" NA
"4913" "(12,13]" "2006" "me12" NA
"4914" "(13,14]" "2006" "me12" NA
"4915" "(14,15]" "2006" "me12" NA
"4916" "(15,16]" "2006" "me12" NA
"4917" "(16,17]" "2006" "me12" NA
"4918" "(17,18]" "2006" "me12" NA
"4919" "(18,19]" "2006" "me12" NA
"4920" "(19,20]" "2006" "me12" NA
"4921" "(0,1]" "2007" "me12" NA
"4922" "(1,2]" "2007" "me12" NA
"4923" "(2,3]" "2007" "me12" NA
"4924" "(3,4]" "2007" "me12" NA
"4925" "(4,5]" "2007" "me12" NA
"4926" "(5,6]" "2007" "me12" NA
"4927" "(6,7]" "2007" "me12" NA
"4928" "(7,8]" "2007" "me12" NA
"4929" "(8,9]" "2007" "me12" NA
"4930" "(9,10]" "2007" "me12" NA
"4931" "(10,11]" "2007" "me12" NA
"4932" "(11,12]" "2007" "me12" NA
"4933" "(12,13]" "2007" "me12" NA
"4934" "(13,14]" "2007" "me12" NA
"4935" "(14,15]" "2007" "me12" NA
"4936" "(15,16]" "2007" "me12" NA
"4937" "(16,17]" "2007" "me12" NA
"4938" "(17,18]" "2007" "me12" NA
"4939" "(18,19]" "2007" "me12" NA
"4940" "(19,20]" "2007" "me12" NA
"4941" "(0,1]" "2008" "me12" NA
"4942" "(1,2]" "2008" "me12" NA
"4943" "(2,3]" "2008" "me12" NA
"4944" "(3,4]" "2008" "me12" NA
"4945" "(4,5]" "2008" "me12" NA
"4946" "(5,6]" "2008" "me12" NA
"4947" "(6,7]" "2008" "me12" NA
"4948" "(7,8]" "2008" "me12" NA
"4949" "(8,9]" "2008" "me12" NA
"4950" "(9,10]" "2008" "me12" NA
"4951" "(10,11]" "2008" "me12" NA
"4952" "(11,12]" "2008" "me12" NA
"4953" "(12,13]" "2008" "me12" NA
"4954" "(13,14]" "2008" "me12" NA
"4955" "(14,15]" "2008" "me12" NA
"4956" "(15,16]" "2008" "me12" NA
"4957" "(16,17]" "2008" "me12" NA
"4958" "(17,18]" "2008" "me12" NA
"4959" "(18,19]" "2008" "me12" NA
"4960" "(19,20]" "2008" "me12" NA
"4961" "(0,1]" "2009" "me12" NA
"4962" "(1,2]" "2009" "me12" NA
"4963" "(2,3]" "2009" "me12" NA
"4964" "(3,4]" "2009" "me12" NA
"4965" "(4,5]" "2009" "me12" NA
"4966" "(5,6]" "2009" "me12" NA
"4967" "(6,7]" "2009" "me12" NA
"4968" "(7,8]" "2009" "me12" NA
"4969" "(8,9]" "2009" "me12" NA
"4970" "(9,10]" "2009" "me12" NA
"4971" "(10,11]" "2009" "me12" NA
"4972" "(11,12]" "2009" "me12" NA
"4973" "(12,13]" "2009" "me12" NA
"4974" "(13,14]" "2009" "me12" NA
"4975" "(14,15]" "2009" "me12" NA
"4976" "(15,16]" "2009" "me12" NA
"4977" "(16,17]" "2009" "me12" NA
"4978" "(17,18]" "2009" "me12" NA
"4979" "(18,19]" "2009" "me12" NA
"4980" "(19,20]" "2009" "me12" NA
"4981" "(0,1]" "2010" "me12" NA
"4982" "(1,2]" "2010" "me12" NA
"4983" "(2,3]" "2010" "me12" NA
"4984" "(3,4]" "2010" "me12" NA
"4985" "(4,5]" "2010" "me12" NA
"4986" "(5,6]" "2010" "me12" NA
"4987" "(6,7]" "2010" "me12" NA
"4988" "(7,8]" "2010" "me12" NA
"4989" "(8,9]" "2010" "me12" NA
"4990" "(9,10]" "2010" "me12" NA
"4991" "(10,11]" "2010" "me12" NA
"4992" "(11,12]" "2010" "me12" NA
"4993" "(12,13]" "2010" "me12" NA
"4994" "(13,14]" "2010" "me12" NA
"4995" "(14,15]" "2010" "me12" NA
"4996" "(15,16]" "2010" "me12" NA
"4997" "(16,17]" "2010" "me12" NA
"4998" "(17,18]" "2010" "me12" NA
"4999" "(18,19]" "2010" "me12" NA
"5000" "(19,20]" "2010" "me12" NA
"5001" "(0,1]" "2011" "me12" NA
"5002" "(1,2]" "2011" "me12" NA
"5003" "(2,3]" "2011" "me12" NA
"5004" "(3,4]" "2011" "me12" NA
"5005" "(4,5]" "2011" "me12" NA
"5006" "(5,6]" "2011" "me12" 7
"5007" "(6,7]" "2011" "me12" NA
"5008" "(7,8]" "2011" "me12" NA
"5009" "(8,9]" "2011" "me12" NA
"5010" "(9,10]" "2011" "me12" NA
"5011" "(10,11]" "2011" "me12" NA
"5012" "(11,12]" "2011" "me12" NA
"5013" "(12,13]" "2011" "me12" NA
"5014" "(13,14]" "2011" "me12" NA
"5015" "(14,15]" "2011" "me12" 0
"5016" "(15,16]" "2011" "me12" NA
"5017" "(16,17]" "2011" "me12" NA
"5018" "(17,18]" "2011" "me12" NA
"5019" "(18,19]" "2011" "me12" NA
"5020" "(19,20]" "2011" "me12" NA
"5021" "(0,1]" "2012" "me12" NA
"5022" "(1,2]" "2012" "me12" NA
"5023" "(2,3]" "2012" "me12" NA
"5024" "(3,4]" "2012" "me12" NA
"5025" "(4,5]" "2012" "me12" NA
"5026" "(5,6]" "2012" "me12" NA
"5027" "(6,7]" "2012" "me12" NA
"5028" "(7,8]" "2012" "me12" NA
"5029" "(8,9]" "2012" "me12" NA
"5030" "(9,10]" "2012" "me12" NA
"5031" "(10,11]" "2012" "me12" NA
"5032" "(11,12]" "2012" "me12" NA
"5033" "(12,13]" "2012" "me12" NA
"5034" "(13,14]" "2012" "me12" NA
"5035" "(14,15]" "2012" "me12" NA
"5036" "(15,16]" "2012" "me12" NA
"5037" "(16,17]" "2012" "me12" NA
"5038" "(17,18]" "2012" "me12" NA
"5039" "(18,19]" "2012" "me12" NA
"5040" "(19,20]" "2012" "me12" NA
"5041" "(0,1]" "1992" "me13" NA
"5042" "(1,2]" "1992" "me13" NA
"5043" "(2,3]" "1992" "me13" NA
"5044" "(3,4]" "1992" "me13" NA
"5045" "(4,5]" "1992" "me13" NA
"5046" "(5,6]" "1992" "me13" NA
"5047" "(6,7]" "1992" "me13" NA
"5048" "(7,8]" "1992" "me13" NA
"5049" "(8,9]" "1992" "me13" NA
"5050" "(9,10]" "1992" "me13" NA
"5051" "(10,11]" "1992" "me13" NA
"5052" "(11,12]" "1992" "me13" NA
"5053" "(12,13]" "1992" "me13" NA
"5054" "(13,14]" "1992" "me13" NA
"5055" "(14,15]" "1992" "me13" NA
"5056" "(15,16]" "1992" "me13" NA
"5057" "(16,17]" "1992" "me13" NA
"5058" "(17,18]" "1992" "me13" NA
"5059" "(18,19]" "1992" "me13" NA
"5060" "(19,20]" "1992" "me13" NA
"5061" "(0,1]" "1993" "me13" NA
"5062" "(1,2]" "1993" "me13" NA
"5063" "(2,3]" "1993" "me13" NA
"5064" "(3,4]" "1993" "me13" NA
"5065" "(4,5]" "1993" "me13" NA
"5066" "(5,6]" "1993" "me13" NA
"5067" "(6,7]" "1993" "me13" NA
"5068" "(7,8]" "1993" "me13" NA
"5069" "(8,9]" "1993" "me13" NA
"5070" "(9,10]" "1993" "me13" NA
"5071" "(10,11]" "1993" "me13" NA
"5072" "(11,12]" "1993" "me13" NA
"5073" "(12,13]" "1993" "me13" NA
"5074" "(13,14]" "1993" "me13" NA
"5075" "(14,15]" "1993" "me13" NA
"5076" "(15,16]" "1993" "me13" NA
"5077" "(16,17]" "1993" "me13" NA
"5078" "(17,18]" "1993" "me13" NA
"5079" "(18,19]" "1993" "me13" NA
"5080" "(19,20]" "1993" "me13" NA
"5081" "(0,1]" "1994" "me13" NA
"5082" "(1,2]" "1994" "me13" NA
"5083" "(2,3]" "1994" "me13" NA
"5084" "(3,4]" "1994" "me13" NA
"5085" "(4,5]" "1994" "me13" NA
"5086" "(5,6]" "1994" "me13" NA
"5087" "(6,7]" "1994" "me13" NA
"5088" "(7,8]" "1994" "me13" NA
"5089" "(8,9]" "1994" "me13" NA
"5090" "(9,10]" "1994" "me13" NA
"5091" "(10,11]" "1994" "me13" NA
"5092" "(11,12]" "1994" "me13" NA
"5093" "(12,13]" "1994" "me13" NA
"5094" "(13,14]" "1994" "me13" NA
"5095" "(14,15]" "1994" "me13" NA
"5096" "(15,16]" "1994" "me13" NA
"5097" "(16,17]" "1994" "me13" NA
"5098" "(17,18]" "1994" "me13" NA
"5099" "(18,19]" "1994" "me13" NA
"5100" "(19,20]" "1994" "me13" NA
"5101" "(0,1]" "1995" "me13" NA
"5102" "(1,2]" "1995" "me13" NA
"5103" "(2,3]" "1995" "me13" NA
"5104" "(3,4]" "1995" "me13" NA
"5105" "(4,5]" "1995" "me13" NA
"5106" "(5,6]" "1995" "me13" NA
"5107" "(6,7]" "1995" "me13" NA
"5108" "(7,8]" "1995" "me13" NA
"5109" "(8,9]" "1995" "me13" NA
"5110" "(9,10]" "1995" "me13" NA
"5111" "(10,11]" "1995" "me13" NA
"5112" "(11,12]" "1995" "me13" NA
"5113" "(12,13]" "1995" "me13" NA
"5114" "(13,14]" "1995" "me13" NA
"5115" "(14,15]" "1995" "me13" NA
"5116" "(15,16]" "1995" "me13" NA
"5117" "(16,17]" "1995" "me13" NA
"5118" "(17,18]" "1995" "me13" NA
"5119" "(18,19]" "1995" "me13" NA
"5120" "(19,20]" "1995" "me13" NA
"5121" "(0,1]" "1996" "me13" NA
"5122" "(1,2]" "1996" "me13" NA
"5123" "(2,3]" "1996" "me13" NA
"5124" "(3,4]" "1996" "me13" NA
"5125" "(4,5]" "1996" "me13" NA
"5126" "(5,6]" "1996" "me13" NA
"5127" "(6,7]" "1996" "me13" NA
"5128" "(7,8]" "1996" "me13" NA
"5129" "(8,9]" "1996" "me13" NA
"5130" "(9,10]" "1996" "me13" NA
"5131" "(10,11]" "1996" "me13" NA
"5132" "(11,12]" "1996" "me13" NA
"5133" "(12,13]" "1996" "me13" NA
"5134" "(13,14]" "1996" "me13" NA
"5135" "(14,15]" "1996" "me13" NA
"5136" "(15,16]" "1996" "me13" NA
"5137" "(16,17]" "1996" "me13" NA
"5138" "(17,18]" "1996" "me13" NA
"5139" "(18,19]" "1996" "me13" NA
"5140" "(19,20]" "1996" "me13" NA
"5141" "(0,1]" "1997" "me13" NA
"5142" "(1,2]" "1997" "me13" NA
"5143" "(2,3]" "1997" "me13" NA
"5144" "(3,4]" "1997" "me13" NA
"5145" "(4,5]" "1997" "me13" NA
"5146" "(5,6]" "1997" "me13" NA
"5147" "(6,7]" "1997" "me13" NA
"5148" "(7,8]" "1997" "me13" NA
"5149" "(8,9]" "1997" "me13" NA
"5150" "(9,10]" "1997" "me13" NA
"5151" "(10,11]" "1997" "me13" NA
"5152" "(11,12]" "1997" "me13" NA
"5153" "(12,13]" "1997" "me13" NA
"5154" "(13,14]" "1997" "me13" NA
"5155" "(14,15]" "1997" "me13" NA
"5156" "(15,16]" "1997" "me13" NA
"5157" "(16,17]" "1997" "me13" NA
"5158" "(17,18]" "1997" "me13" NA
"5159" "(18,19]" "1997" "me13" NA
"5160" "(19,20]" "1997" "me13" NA
"5161" "(0,1]" "1998" "me13" NA
"5162" "(1,2]" "1998" "me13" NA
"5163" "(2,3]" "1998" "me13" NA
"5164" "(3,4]" "1998" "me13" NA
"5165" "(4,5]" "1998" "me13" NA
"5166" "(5,6]" "1998" "me13" NA
"5167" "(6,7]" "1998" "me13" NA
"5168" "(7,8]" "1998" "me13" NA
"5169" "(8,9]" "1998" "me13" NA
"5170" "(9,10]" "1998" "me13" NA
"5171" "(10,11]" "1998" "me13" NA
"5172" "(11,12]" "1998" "me13" NA
"5173" "(12,13]" "1998" "me13" NA
"5174" "(13,14]" "1998" "me13" NA
"5175" "(14,15]" "1998" "me13" NA
"5176" "(15,16]" "1998" "me13" NA
"5177" "(16,17]" "1998" "me13" NA
"5178" "(17,18]" "1998" "me13" NA
"5179" "(18,19]" "1998" "me13" NA
"5180" "(19,20]" "1998" "me13" NA
"5181" "(0,1]" "1999" "me13" NA
"5182" "(1,2]" "1999" "me13" NA
"5183" "(2,3]" "1999" "me13" NA
"5184" "(3,4]" "1999" "me13" NA
"5185" "(4,5]" "1999" "me13" NA
"5186" "(5,6]" "1999" "me13" NA
"5187" "(6,7]" "1999" "me13" NA
"5188" "(7,8]" "1999" "me13" NA
"5189" "(8,9]" "1999" "me13" NA
"5190" "(9,10]" "1999" "me13" NA
"5191" "(10,11]" "1999" "me13" NA
"5192" "(11,12]" "1999" "me13" NA
"5193" "(12,13]" "1999" "me13" NA
"5194" "(13,14]" "1999" "me13" NA
"5195" "(14,15]" "1999" "me13" NA
"5196" "(15,16]" "1999" "me13" NA
"5197" "(16,17]" "1999" "me13" NA
"5198" "(17,18]" "1999" "me13" NA
"5199" "(18,19]" "1999" "me13" NA
"5200" "(19,20]" "1999" "me13" NA
"5201" "(0,1]" "2000" "me13" NA
"5202" "(1,2]" "2000" "me13" NA
"5203" "(2,3]" "2000" "me13" NA
"5204" "(3,4]" "2000" "me13" NA
"5205" "(4,5]" "2000" "me13" NA
"5206" "(5,6]" "2000" "me13" NA
"5207" "(6,7]" "2000" "me13" NA
"5208" "(7,8]" "2000" "me13" NA
"5209" "(8,9]" "2000" "me13" NA
"5210" "(9,10]" "2000" "me13" NA
"5211" "(10,11]" "2000" "me13" NA
"5212" "(11,12]" "2000" "me13" NA
"5213" "(12,13]" "2000" "me13" NA
"5214" "(13,14]" "2000" "me13" NA
"5215" "(14,15]" "2000" "me13" NA
"5216" "(15,16]" "2000" "me13" NA
"5217" "(16,17]" "2000" "me13" NA
"5218" "(17,18]" "2000" "me13" NA
"5219" "(18,19]" "2000" "me13" NA
"5220" "(19,20]" "2000" "me13" NA
"5221" "(0,1]" "2001" "me13" NA
"5222" "(1,2]" "2001" "me13" NA
"5223" "(2,3]" "2001" "me13" NA
"5224" "(3,4]" "2001" "me13" NA
"5225" "(4,5]" "2001" "me13" NA
"5226" "(5,6]" "2001" "me13" NA
"5227" "(6,7]" "2001" "me13" NA
"5228" "(7,8]" "2001" "me13" NA
"5229" "(8,9]" "2001" "me13" NA
"5230" "(9,10]" "2001" "me13" NA
"5231" "(10,11]" "2001" "me13" NA
"5232" "(11,12]" "2001" "me13" NA
"5233" "(12,13]" "2001" "me13" NA
